cooperativa,abreviacion,activos_productivos_sobre_total_activos,activos_productivos_sobre_pasivos_con_costo,morosidad_cartera_productiva,morosidad_total,cobertura_cartera_problematica,cartera_refinanciada,cartera_reestructurada,gastos_operativos_sobre_activos,roa,roe,cartera_sobre_depositos,margen_intermediacion_sobre_activo_promedio,gastos_operativos_sobre_activo_promedio,label
15 DE ABRIL LTDA,15ABR,0.8572438771908757,1.009935805077947,0.1040290187111571,0.1427345703733718,0.8186724280759158,0.1354544708590606,0.1489869013792146,0.0667224698636752,6.18607425975e-06,5.272317786655e-05,0.8593884834280879,-0.0137672605343713,0.8186724280759158,BB
23 DE JULIO LIMITADA,23JUL,0.9049135864416068,1.0415805516303145,0.032382901761905,0.0806408138969513,1.1555955597779424,0.1516985133136459,0.1651866237957062,0.0463866648140178,0.0009968054968479,0.0091245816064948,0.8586402581211386,-0.0067604244202993,1.1555955597779424,A
29 DE OCTUBRE LTDA,29OCT,0.9330106780745742,1.0513136829030711,0.051953771516387,0.0832279128219145,1.119856907123953,0.1512709796177052,0.1424435995464908,0.0301239968890042,0.000334595160676,0.0036533583534161,0.8565923396857186,-0.0012443962939853,1.119856907123953,AA
9 DE OCTUBRE LTDA,9OCT,0.9351027666870304,1.081519998222309,0.0,0.0807358781057997,1.1358641452383402,0.2207002375520586,0.201301616717355,0.042712656933181,0.0004460828345971,0.0039563961470924,0.9834347159415304,-0.0021367368883893,1.1358641452383402,A
ALFONSO JARAMILLO LEON CAJA,AJLC,0.8810938827041204,1.00241046880686,0.1443601349838585,0.0842384552555025,0.6387087532688802,0.224355165446847,0.1766039061722232,0.0507399824752987,0.0012178333999123,0.013004315994729,0.922792822948778,-0.0021362034341482,0.6387087532688802,BBB
ALIANZA DEL VALLE LIMITADA,ADV,0.9143305927223908,1.071360304672558,0.0,0.0815130698852278,1.1217592897888873,0.1035919666114921,0.1368948374111608,0.0277886326544748,0.0020805636865398,0.0170772245981604,0.8945229173427768,0.0001469273901993,1.1217592897888873,AA
AMBATO LTDA,AMB,0.9505144557849424,1.1006799788378412,0.0,0.0768810278188562,1.3856698333783282,0.1333164029062298,0.1393120298452874,0.0376060328383056,0.0012710966038165,0.011272911045873,0.7802864683188114,-0.006125446695802,1.3856698333783282,A
ANDALUCIA LIMITADA,ANDA,0.8318529752043651,0.9510916265850228,0.0,0.0621236337256934,1.0008140877345046,0.1316043960585542,0.1738707101512524,0.0390243554370837,0.001634803348986,0.0161371448929685,0.7937624172819546,0.0002897427164854,1.0008140877345046,AA
ATUNTAQUI LIMITADA,ATUN,0.8999600925158414,1.02851488815728,0.0,0.0610496454634296,0.9527474816732994,0.1354498952257236,0.1405685728720665,0.0301623623924847,2.769548441933e-05,0.0002572897702088,0.8936403006363324,-0.0062695011436298,0.9527474816732994,AA
CALCETA LTDA,CALC,0.8428049473437059,1.0258163477399551,0.0,0.1540304982471735,0.8156194647122332,0.0,0.0441940009563911,0.0592310842646133,0.0003516617737255,0.0026208622029582,1.181538919716572,0.0021969797514189,0.8156194647122332,BBB
CHIBULEO LIMITADA,CHIB,0.901561837447292,1.0261029177511087,0.0,0.1009709195684802,0.7204033374256942,0.0,0.1682148490286845,0.0398425596662957,0.0003085525379578,0.0032911133729142,0.7863302738079112,-0.00263445838994,0.7204033374256942,BBB
CHONE LTDA,CHON,0.9239059329132672,1.234482114405446,0.0552130386418502,0.0653961895465876,1.3130848533782893,0.0,0.0,0.0575886766725481,0.0094842295050782,0.047329779158682,1.1786440149630308,0.012613903542995,1.3130848533782893,BBB
COMERCIO LTDA,COMER,0.8843222502531434,1.0940395582964926,7.24706440746e-06,0.0716574583202441,1.0000254030483704,0.0,0.2344050815023571,0.056731131323581,0.0037769135056388,0.0265883982618155,0.9975238021038054,0.0006764918434791,1.0000254030483704,BBB
COOPROGRESO LIMITADA,COOP,0.7826811279714386,0.9222887619042432,0.0648609690310457,0.1311228657542535,0.4200966806103851,0.1638067890736664,0.1389186286604558,0.0286234668643798,1.131701e-11,8.738894e-11,0.7377347527914268,-0.0022499841054863,0.4200966806103851,A
